id,group,lng_bd09,lat_bd09,polygon_inside,prediction,duration_s,strict_classification,tolerant_classification,reason,origin_offset_m,destination_offset_m
v001,boundary,121.517446,31.315434,True,True,599,tp,tp,,0.9363843148979053,43.2230790112907
v002,boundary,121.518601,31.314609,False,,933,algorithm_unknown,algorithm_unknown,,0.9363843148979053,9.980578816558603
v003,boundary,121.518084,31.314602,True,True,585,tp,tp,,0.9363843148979053,47.901564395607245
v004,boundary,121.51703,31.316603,False,,950,algorithm_unknown,algorithm_unknown,,0.9363843148979053,14.16226636457314
v005,boundary,121.521552,31.313092,True,True,855,tp,tp,,0.9363843148979053,29.56017208043505
v006,boundary,121.512666,31.318128,True,True,707,tp,tp,,0.9363843148979053,9.028022386260123
v007,boundary,121.516506,31.308543,False,False,960,tn,tn,,0.9363843148979053,9.732891687783681
v008,boundary,121.521948,31.312806,False,,933,api_unknown,api_unknown,endpoint_offset,0.9363843148979053,69.09368293293444
v009,boundary,121.520956,31.312745,True,True,852,tp,tp,,0.9363843148979053,21.56922634086951
v010,boundary,121.514105,31.317958,False,False,1071,tn,tn,,0.9363843148979053,6.669452419708568
v011,boundary,121.517331,31.316934,False,,980,algorithm_unknown,algorithm_unknown,,0.9363843148979053,12.708970777872251
v012,boundary,121.517993,31.315782,False,,1070,algorithm_unknown,algorithm_unknown,,0.9363843148979053,29.139785282197575
v013,boundary,121.520598,31.312477,True,True,881,tp,tp,,0.9363843148979053,2.179530356558058
v014,boundary,121.517525,31.315606,True,True,615,api_unknown,api_unknown,endpoint_offset,0.9363843148979053,62.67819448765945
v015,boundary,121.516146,31.317812,False,,1038,algorithm_unknown,algorithm_unknown,,0.9363843148979053,35.61826753323881
v016,boundary,121.516573,31.317579,False,False,869,fn,fn,,0.9363843148979053,11.829542510012402
v017,boundary,121.517345,31.315983,True,True,633,api_unknown,api_unknown,endpoint_offset,0.9363843148979053,69.45877133774988
v018,boundary,121.513284,31.318721,False,,1020,algorithm_unknown,algorithm_unknown,,0.9363843148979053,19.418263842856554
v019,boundary,121.515237,31.318497,False,,891,algorithm_unknown,algorithm_unknown,,0.9363843148979053,37.379263907530465
v020,boundary,121.517944,31.309454,False,False,875,fn,fn,,0.9363843148979053,6.2339256823290405
v021,boundary,121.51357,31.317278,True,True,722,tp,tp,,0.9363843148979053,3.3798256310979213
v022,boundary,121.515017,31.307209,False,False,1109,tn,tn,,0.9363843148979053,17.359300056198496
v023,boundary,121.517363,31.315989,True,True,635,api_unknown,api_unknown,endpoint_offset,0.9363843148979053,72.37931821423103
v024,boundary,121.519097,31.315314,False,False,890,fn,within_tolerance,,0.9363843148979053,21.47477262743258
v025,boundary,121.520464,31.311416,True,True,877,tp,tp,,0.9363843148979053,6.798659437183039
v026,boundary,121.50874,31.317616,False,False,914,tn,tn,,0.9363843148979053,4.4826094089603625
v027,boundary,121.515228,31.318703,False,,909,algorithm_unknown,algorithm_unknown,,0.9363843148979053,46.910343719918586
v028,boundary,121.504571,31.313887,True,True,937,fp,fp,,0.9363843148979053,12.58514449004432
v029,boundary,121.518612,31.309868,False,False,821,fn,fn,,0.9363843148979053,20.109729418070533
v030,boundary,121.514089,31.318178,False,,1064,algorithm_unknown,algorithm_unknown,,0.9363843148979053,28.22757752277156
v031,boundary,121.510378,31.317715,False,False,1226,tn,tn,,0.9363843148979053,2.5547719478912376
v032,boundary,121.513268,31.319005,False,,1021,algorithm_unknown,algorithm_unknown,,0.9363843148979053,12.10861675315548
v033,boundary,121.513455,31.317302,True,True,712,tp,tp,,0.9363843148979053,6.147246827499297
v034,boundary,121.508658,31.310446,False,False,1589,tn,tn,,0.9363843148979053,5.587185764345638
v035,boundary,121.506292,31.313469,False,False,1098,tn,tn,,0.9363843148979053,7.42097905467966
v036,boundary,121.508275,31.313287,True,True,935,fp,fp,,0.9363843148979053,2.645241621225233
v037,boundary,121.520544,31.315161,True,True,872,tp,tp,,0.9363843148979053,1.485687039815095
v038,boundary,121.515759,31.308728,True,True,846,tp,tp,,0.9363843148979053,7.22243549904491
v039,boundary,121.520734,31.311045,False,False,908,tn,tn,,0.9363843148979053,8.070426334739807
v040,boundary,121.513234,31.317554,True,True,694,tp,tp,,0.9363843148979053,34.20916471237344
v041,boundary,121.520949,31.315471,False,False,930,tn,tn,,0.9363843148979053,12.169372242989603
v042,boundary,121.508931,31.311144,True,True,759,tp,tp,,0.9363843148979053,5.054066097510613
v043,boundary,121.513392,31.307863,True,True,882,tp,tp,,0.9363843148979053,5.378155429380966
v044,boundary,121.507883,31.311578,False,False,920,tn,tn,,0.9363843148979053,1.678184240262993
v045,boundary,121.513881,31.3182,False,,975,api_unknown,api_unknown,endpoint_offset,0.9363843148979053,56.716558866466876
v046,boundary,121.510412,31.309295,True,True,737,tp,tp,,0.9363843148979053,6.6511477101974075
v047,boundary,121.521276,31.312415,False,,906,algorithm_unknown,algorithm_unknown,,0.9363843148979053,36.10492459186539
v048,boundary,121.511868,31.319108,False,False,944,tn,tn,,0.9363843148979053,25.784199919265927
v049,boundary,121.521805,31.314403,False,False,928,tn,tn,,0.9363843148979053,3.605579107874256
v050,boundary,121.513324,31.307814,True,True,876,tp,tp,,0.9363843148979053,3.419249974459109
v051,boundary,121.509721,31.308942,False,False,1211,tn,tn,,0.9363843148979053,15.76382038650218
v052,boundary,121.51234,31.30784,True,True,834,tp,tp,,0.9363843148979053,3.958441559516116
v053,boundary,121.507245,31.310818,False,False,1044,tn,tn,,0.9363843148979053,14.013189495839805
v054,boundary,121.522697,31.313173,False,,950,algorithm_unknown,algorithm_unknown,,0.9363843148979053,5.424028773344022
v055,boundary,121.521938,31.314923,False,False,977,tn,tn,,0.9363843148979053,10.080803823317265
v056,boundary,121.520791,31.315477,False,False,927,tn,tn,,0.9363843148979053,2.250013146386185
v057,boundary,121.516567,31.317439,True,True,866,tp,tp,,0.9363843148979053,2.293073913471652
v058,boundary,121.520436,31.310615,False,False,908,tn,tn,,0.9363843148979053,18.009034399754963
v059,boundary,121.508467,31.310981,True,True,816,tp,tp,,0.9363843148979053,5.887694501969746
v060,boundary,121.520715,31.310383,False,False,940,tn,tn,,0.9363843148979053,5.128905686939497
v061,boundary,121.513521,31.318465,False,,980,api_unknown,api_unknown,endpoint_offset,0.9363843148979053,54.18192098544763
v062,boundary,121.505917,31.314275,False,False,909,tn,tn,,0.9363843148979053,7.535827717366773
v063,boundary,121.507959,31.310847,True,True,858,tp,tp,,0.9363843148979053,21.72881086200601
v064,boundary,121.517507,31.317387,False,False,933,tn,tn,,0.9363843148979053,5.077384989244163
